name,jif,jif5Years,fiveYearJifQuartile,jifWithoutSelfCites,immediacyIndex
Materials Today Chemistry,7.3,7.7,Q1,6.8,1.7
Journal of Evidence Based Medicine,7.3,,N/A,7.2,0.3
Frontiers in Immunology,7.3,8.0,Q1,6.5,1.1
SEMINARS IN CELL & DEVELOPMENTAL BIOLOGY,7.3,7.7,Q1,7.2,3.3
EXERCISE IMMUNOLOGY REVIEW,7.3,6.7,Q1,7.3,
Wiley Interdisciplinary Reviews-RNA,7.3,8.2,Q1,7.0,1.4
IEEE Transactions on Big Data,7.2,5.9,Q1,7.0,2.9
INTERNATIONAL JOURNAL OF ROCK MECHANICS AND MINING SCIENCES,7.2,7.4,Q1,6.8,2.1
Journal of Computer-Mediated Communication,7.2,8.7,Q1,7.0,0.3
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,7.2,9.2,Q1,7.1,1.6
COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,7.2,6.8,Q1,6.1,1.5
Implementation Science,7.2,9.7,Q1,6.4,1.8
OBSTETRICS AND GYNECOLOGY,7.2,7.6,Q1,6.9,1.9
Journal of Travel & Tourism Marketing,7.2,8.2,Q1,6.6,1.5
European Review of Social Psychology,7.2,8.5,Q1,7.0,1.5
RESEARCH POLICY,7.2,10.4,Q1,6.7,2.3
PLANT JOURNAL,7.2,7.9,Q1,6.9,1.4
JOURNAL OF CLINICAL EPIDEMIOLOGY,7.2,7.4,Q1,6.7,1.8
Cellular and Molecular Gastroenterology and Hepatology,7.2,8.4,Q1,7.0,2.4
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,7.2,6.9,Q1,6.8,0.6
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,7.2,5.7,Q1,6.9,1.9
DIABETES & METABOLISM,7.2,5.8,Q1,6.9,1.5
npj Regenerative Medicine,7.2,9.2,Q1,7.1,1.1
Journal of Family Business Strategy,7.2,7.7,Q2,5.8,4.2
JOURNAL OF CONSUMER RESEARCH,7.2,10.5,Q1,6.5,0.7
Environmental Innovation and Societal Transitions,7.2,9.1,Q1,5.8,1.4
Earth Systems and Environment,7.2,5.8,N/A,6.8,1.5
Cold Spring Harbor Perspectives in Biology,7.2,13.1,Q1,7.1,3.7
PHYTOTHERAPY RESEARCH,7.2,6.8,Q1,6.8,1.2
OncoImmunology,7.2,7.6,Q1,7.0,1.8
CANADIAN JOURNAL OF CARDIOLOGY,7.2,6.0,Q1,6.6,2.4
Journal of Global Health,7.2,6.6,Q1,7.0,0.9
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,7.2,6.3,Q1,5.4,2.4
APOPTOSIS,7.2,5.9,Q1,6.9,0.8
JOURNAL OF TOXICOLOGY AND ENVIRONMENTAL HEALTH-PART B-CRITICAL REVIEWS,7.2,8.4,Q1,6.7,0.3
Current Opinion in Environmental Sustainability,7.2,8.5,Q1,7.0,1.6
ImmunoTargets and Therapy,7.2,8.3,N/A,7.2,0.7
JOURNAL OF INVESTIGATIONAL ALLERGOLOGY AND CLINICAL IMMUNOLOGY,7.2,6.5,Q1,6.5,3.0
PROGRESS IN HUMAN GEOGRAPHY,7.1,8.0,Q1,6.6,1.6
ULTRASOUND IN OBSTETRICS & GYNECOLOGY,7.1,7.1,Q1,6.1,2.4
Lancet Regional Health-Western Pacific,7.1,,N/A,6.9,3.2
CLIMATE POLICY,7.1,6.1,Q1,6.5,1.0
MEDICAL EDUCATION,7.1,6.9,Q1,6.3,1.6
European Heart Journal-Cardiovascular Pharmacotherapy,7.1,6.6,Q1,6.2,2.1
Acta Neuropathologica Communications,7.1,7.8,Q1,6.9,1.4
Journal of Ocean Engineering and Science,7.1,5.2,Q1,5.7,11.6
AMERICAN JOURNAL OF CLINICAL NUTRITION,7.1,7.8,Q1,6.8,2.4
MEAT SCIENCE,7.1,6.6,Q1,6.4,1.3
LAND USE POLICY,7.1,6.9,Q1,6.5,2.3
International Small Business Journal-Researching Entrepreneurship,7.1,7.6,Q2,6.5,0.8
Environmental Technology & Innovation,7.1,6.9,Q1,6.8,2.4
Journal of Intensive Care,7.1,5.5,Q1,7.0,1.1
CSEE Journal of Power and Energy Systems,7.1,6.8,Q1,6.2,2.6
Advanced Sustainable Systems,7.1,6.6,Q1,6.8,1.8
ACS ES&T Engineering,7.1,7.1,N/A,6.7,1.8
TRANSACTIONS OF TIANJIN UNIVERSITY,7.1,,N/A,6.7,1.0
Computer Assisted Language Learning,7.0,7.4,Q1,6.1,1.9
Policy Design and Practice,7.0,5.8,N/A,6.7,0.9
Journal of Animal Science and Biotechnology,7.0,7.3,Q1,6.8,1.4
PSYCHOLOGICAL METHODS,7.0,11.5,Q1,6.5,2.5
JOURNAL OF STRATEGIC INFORMATION SYSTEMS,7.0,16.1,Q1,6.7,1.3
Radiology-Cardiothoracic Imaging,7.0,6.3,N/A,6.9,0.5
POSTHARVEST BIOLOGY AND TECHNOLOGY,7.0,6.9,Q1,6.1,1.2
Journal of Knowledge Management,7.0,8.8,Q1,5.9,1.4
Osteoarthritis and Cartilage,7.0,7.0,Q1,6.5,2.2
Inorganic Chemistry Frontiers,7.0,6.3,Q1,6.5,1.8
ECONOMIC GEOGRAPHY,7.0,13.9,Q1,6.8,1.5
GENOME RESEARCH,7.0,11.8,Q1,6.9,1.7
IEEE Transactions on Transportation Electrification,7.0,8.1,Q1,5.9,2.1
MOLECULAR & CELLULAR PROTEOMICS,7.0,6.3,Q1,6.7,1.3
ECOLOGICAL ECONOMICS,7.0,7.5,Q1,6.6,1.7
INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,7.0,6.3,Q1,6.3,2.6
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,7.0,6.6,Q1,6.5,2.2
Food Science and Human Wellness,7.0,8.3,Q1,6.6,1.7
JACC-Clinical Electrophysiology,7.0,,N/A,6.6,2.7
INTERNATIONAL JOURNAL OF RESEARCH IN MARKETING,7.0,8.0,Q2,6.7,2.0
ACS Photonics,7.0,7.3,Q1,6.6,1.4
Business & Society,7.0,7.7,Q2,6.2,1.2
PROCEEDINGS OF THE NUTRITION SOCIETY,7.0,8.1,Q1,7.0,0.9
INTERNATIONAL JOURNAL OF INTELLIGENT SYSTEMS,7.0,7.2,Q1,6.0,1.0
INTERNATIONAL PSYCHOGERIATRICS,7.0,5.1,Q1,6.4,2.4
Journal of Environmental Informatics,7.0,4.3,Q2,6.8,1.4
Antioxidants,7.0,7.3,Q1,6.2,1.6
GENERAL HOSPITAL PSYCHIATRY,7.0,5.5,Q1,6.8,1.1
Journal of Water Process Engineering,7.0,6.7,Q1,6.4,1.9
GIANT,7.0,7.0,N/A,6.4,1.3
Materials Chemistry Frontiers,7.0,6.4,Q1,6.8,1.2
Journal of Materials Chemistry B,7.0,6.5,Q2,6.7,1.2
Cell Death Discovery,7.0,6.6,Q2,6.9,1.4
Innovation in Aging,7.0,8.7,Q1,7.0,0.8
CURRENT OPINION IN IMMUNOLOGY,7.0,7.0,Q1,6.9,1.7
Annual Review of Criminology,6.9,9.9,Q1,6.7,3.5
ENTOMOLOGIA GENERALIS,6.9,5.2,Q1,5.6,1.0
Learning Media and Technology,6.9,5.5,Q1,5.9,0.7
WORLD DEVELOPMENT,6.9,7.3,Q1,6.5,0.9
PSYCHOLOGICAL MEDICINE,6.9,7.6,Q1,6.6,3.6
OMEGA-INTERNATIONAL JOURNAL OF MANAGEMENT SCIENCE,6.9,7.8,Q1,6.1,2.1
Applied Psychology-Health and Well Being,6.9,6.3,Q1,6.7,1.3
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,6.9,7.7,Q1,6.3,1.4
Journal of King Saud University-Computer and Information Sciences,6.9,7.0,Q1,6.3,3.1
Computational Visual Media,6.9,,N/A,6.5,5.5
Translational Stroke Research,6.9,6.5,Q1,6.6,0.9
Ecological Indicators,6.9,6.6,Q1,6.3,1.7
JOURNAL OF EXPERIMENTAL BOTANY,6.9,8.0,Q1,6.6,1.6
TUNNELLING AND UNDERGROUND SPACE TECHNOLOGY,6.9,7.5,Q1,5.6,1.8
Obesity,6.9,5.6,Q1,6.8,1.0
MATRIX BIOLOGY,6.9,9.7,Q1,6.6,1.2
Circulation-Cardiovascular Quality and Outcomes,6.9,8.0,Q1,6.7,1.8
JOURNAL OF COMPUTING IN CIVIL ENGINEERING,6.9,6.4,Q1,6.4,1.0
Journal of Hospital Infection,6.9,4.9,Q1,6.5,1.2
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,6.9,8.0,Q1,6.6,1.0
IEEE Circuits and Systems Magazine,6.9,5.2,Q1,6.8,0.8
LAB ANIMAL,6.9,10.0,Q1,6.7,1.6
Journal of Environmental Sciences,6.9,6.2,Q1,6.6,2.8
SOLAR ENERGY MATERIALS AND SOLAR CELLS,6.9,6.5,Q1,6.1,2.3
RESPIROLOGY,6.9,5.6,Q1,6.5,2.1
Virus Evolution,6.9,7.5,Q1,6.5,1.3
Journal of Physics-Energy,6.9,6.9,Q1,6.8,1.3
CURRENT OPINION IN PSYCHIATRY,6.9,6.3,Q1,6.8,1.5
CRITICAL REVIEWS IN PLANT SCIENCES,6.9,8.5,Q1,6.8,1.2
AMERICAN POLITICAL SCIENCE REVIEW,6.8,8.2,Q1,6.4,1.1
Autism in Adulthood,6.8,6.1,N/A,5.8,1.3
Alexandria Engineering Journal,6.8,6.2,Q1,6.5,2.8
OXFORD REVIEW OF ECONOMIC POLICY,6.8,5.8,Q1,6.7,1.7
CLINICAL CHEMISTRY AND LABORATORY MEDICINE,6.8,5.1,Q1,5.7,1.5
Transport Policy,6.8,6.2,Q1,6.1,1.4
IEEE Transactions on Information Forensics and Security,6.8,7.7,Q1,6.3,1.1
CHINA ECONOMIC REVIEW,6.8,6.8,Q1,6.5,1.5
TRANSPORTATION RESEARCH PART B-METHODOLOGICAL,6.8,8.0,Q1,6.2,1.1
JOURNAL OF ORGANIZATIONAL BEHAVIOR,6.8,11.8,Q1,6.4,1.3
Translational Psychiatry,6.8,7.0,Q1,6.6,1.2
IEEE TRANSACTIONS ON AUTOMATIC CONTROL,6.8,7.5,Q1,6.4,3.0
Journal of Advances in Modeling Earth Systems,6.8,7.1,Q1,6.0,1.0
IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY,6.8,6.5,N/A,6.2,1.5
ECOTOXICOLOGY AND ENVIRONMENTAL SAFETY,6.8,6.9,Q1,6.4,1.3
HABITAT INTERNATIONAL,6.8,7.7,Q1,6.1,1.4
COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,6.8,7.0,Q1,6.3,1.2
Case Studies in Thermal Engineering,6.8,6.4,Q1,6.0,2.1
Friction,6.8,7.4,Q1,5.9,2.4
Soil,6.8,6.9,Q1,6.6,1.1
Machine Learning-Science and Technology,6.8,6.8,Q1,6.5,1.5
CURRENT OPINION IN STRUCTURAL BIOLOGY,6.8,6.6,Q1,6.6,2.1
Genes & Diseases,6.8,7.8,Q1,6.8,2.4
Pneumonia,6.8,5.4,N/A,6.7,1.2
BIODRUGS,6.8,6.4,Q1,6.6,1.4
Biofilm,6.8,6.8,N/A,6.7,1.2
EVOLUTIONARY COMPUTATION,6.8,6.2,Q1,6.7,1.0
Advanced Materials Technologies,6.8,7.6,Q1,6.5,1.1
ALLERGOLOGY INTERNATIONAL,6.8,6.3,Q1,6.4,3.2
JOURNAL OF CLINICAL PERIODONTOLOGY,6.7,9.1,Q1,6.0,0.9
International Journal of STEM Education,6.7,7.0,Q1,5.9,1.7
RHINOLOGY,6.7,4.9,Q1,6.1,1.4
FERTILITY AND STERILITY,6.7,7.5,Q1,6.3,2.0
FISH AND FISHERIES,6.7,7.3,Q1,6.3,1.1
INVESTIGATIVE RADIOLOGY,6.7,5.9,Q1,5.6,2.1
CITIES,6.7,7.6,Q1,6.1,1.6
AGE AND AGEING,6.7,9.0,Q1,6.3,1.2
Agricultural Water Management,6.7,6.6,Q1,5.7,1.6
Quantum Science and Technology,6.7,6.2,Q1,6.5,1.6
Exposure and Health,6.7,7.7,Q1,6.1,2.1
IEEE TRANSACTIONS ON POWER ELECTRONICS,6.7,7.2,Q1,5.3,1.9
EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY,6.7,6.5,Q1,6.1,1.5
Journal of Clinical Anesthesia,6.7,6.2,Q1,6.4,1.3
International Journal of Advertising,6.7,6.5,Q1,5.4,0.8
Landslides,6.7,7.0,Q1,5.7,1.8
CLINICAL PHARMACOLOGY & THERAPEUTICS,6.7,6.6,Q1,6.2,1.9
PLoS Pathogens,6.7,6.7,Q1,6.5,1.3
BIOLOGICAL RESEARCH,6.7,7.2,Q1,6.7,0.9
Vehicular Communications,6.7,7.2,Q1,6.0,1.5
Energy Research & Social Science,6.7,6.9,Q1,5.6,1.4
PSYCHOLOGY & MARKETING,6.7,6.3,Q1,5.3,1.8
LIVER INTERNATIONAL,6.7,6.3,Q1,6.4,1.6
INTERNATIONAL JOURNAL OF PHYSICAL DISTRIBUTION & LOGISTICS MANAGEMENT,6.7,8.6,Q1,6.0,1.6
International Journal of Stroke,6.7,6.5,Q1,6.3,2.0
GIScience & Remote Sensing,6.7,6.5,Q1,6.1,1.5
Journal of Infection and Public Health,6.7,5.5,Q1,6.6,1.5
APPLIED SURFACE SCIENCE,6.7,6.2,Q1,6.2,1.5
ACTA PSYCHIATRICA SCANDINAVICA,6.7,7.1,Q1,6.5,1.0
MASS SPECTROMETRY REVIEWS,6.7,8.1,Q1,6.5,0.8
Environmental Research Letters,6.7,7.8,Q1,6.4,1.3
ENERGY AND BUILDINGS,6.7,6.6,Q1,5.9,1.7
PROGRESS IN NEUROBIOLOGY,6.7,10.2,Q1,6.6,1.6
JOURNAL OF CARDIAC FAILURE,6.7,5.9,Q1,6.2,2.1
Journal of Tourism Futures,6.7,6.1,N/A,6.3,4.0
MICROBIOLOGICAL RESEARCH,6.7,7.1,Q1,6.3,1.3
BRITISH MEDICAL BULLETIN,6.7,6.5,Q1,6.6,0.8
ARCHIVES OF PHARMACAL RESEARCH,6.7,5.2,Q1,6.1,1.2
Food Security,6.7,5.5,Q1,6.3,1.3
Nanoscale,6.7,6.8,N/A,6.5,1.2
THROMBOSIS AND HAEMOSTASIS,6.7,5.2,Q1,6.1,1.2
ADVANCES IN ANATOMIC PATHOLOGY,6.7,6.0,Q1,6.5,0.9
PROGRESS IN PHOTOVOLTAICS,6.7,6.6,Q1,6.2,1.1
Regenerative Biomaterials,6.7,6.7,Q2,5.6,1.6
Solar Energy,6.7,6.3,Q2,6.1,1.5
Progress in Electromagnetics Research-PIER,6.7,4.4,Q2,6.5,0.5
Current Psychiatry Reports,6.7,8.9,Q1,6.5,0.7
Frontiers of Environmental Science & Engineering,6.7,5.7,Q2,5.8,3.4
INFLAMMATION RESEARCH,6.7,5.8,Q2,6.6,0.9
Oncolytic Virotherapy,6.7,3.6,N/A,6.7,
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,6.6,6.4,Q1,6.3,1.9
Journal of Orthopaedic Translation,6.6,6.6,Q1,5.7,1.7
ANNALS OF EMERGENCY MEDICINE,6.6,5.9,Q1,6.2,1.5
INTERNATIONAL JOURNAL OF ENGINEERING SCIENCE,6.6,6.3,Q1,5.5,2.5
AGRICULTURAL SYSTEMS,6.6,6.9,Q1,6.1,1.1
IEEE Transactions on Network Science and Engineering,6.6,6.0,Q1,6.0,3.2
MILBANK QUARTERLY,6.6,6.7,Q1,6.4,0.4
JOURNAL OF UROLOGY,6.6,6.2,Q1,6.1,2.4
HARMFUL ALGAE,6.6,5.6,Q1,5.6,1.1
Chemical and Biological Technologies in Agriculture,6.6,6.6,Q1,6.4,1.2
Journal of Behavioral and Experimental Finance,6.6,6.2,Q1,6.2,0.5
Methods in Ecology and Evolution,6.6,9.2,Q1,6.4,1.1
IEEE TRANSACTIONS ON POWER SYSTEMS,6.6,7.7,Q1,6.1,2.2
DEVELOPMENTAL REVIEW,6.6,9.8,Q1,6.4,0.6
Journal of Management Science and Engineering,6.6,,N/A,6.4,1.5
AGRICULTURE ECOSYSTEMS & ENVIRONMENT,6.6,6.7,Q1,6.0,1.2
STRUCTURAL HEALTH MONITORING-AN INTERNATIONAL JOURNAL,6.6,7.0,Q1,5.8,1.4
Crop Journal,6.6,6.5,Q1,6.4,2.7
SCHIZOPHRENIA BULLETIN,6.6,8.1,Q1,6.2,0.9
JOURNAL OF URBAN HEALTH-BULLETIN OF THE NEW YORK ACADEMY OF MEDICINE,6.6,5.2,Q1,6.4,1.2
TSINGHUA SCIENCE AND TECHNOLOGY,6.6,4.2,Q1,5.9,3.6
Human-centric Computing and Information Sciences,6.6,6.0,Q1,5.8,1.1
JOURNAL OF AFFECTIVE DISORDERS,6.6,6.3,Q1,6.2,1.1
THYROID,6.6,6.6,Q1,6.2,1.7
HUMAN RESOURCE MANAGEMENT,6.6,7.7,Q1,6.0,1.0
Innovative Food Science & Emerging Technologies,6.6,7.0,Q1,6.2,1.5
Cyberpsychology Behavior and Social Networking,6.6,6.3,Q1,6.4,0.9
Japanese Dental Science Review,6.6,6.2,Q1,6.5,1.2
Hepatology International,6.6,7.1,Q1,6.4,1.1
International Journal of Logistics-Research and Applications,6.6,5.9,Q2,6.0,1.0
CELLULAR ONCOLOGY,6.6,6.1,Q1,6.5,0.8
Molecular Oncology,6.6,7.0,Q1,6.5,1.2
ANTIOXIDANTS & REDOX SIGNALING,6.6,8.2,Q1,6.5,1.8
Food Engineering Reviews,6.6,7.1,Q1,6.5,1.5
JOURNAL OF NON-EQUILIBRIUM THERMODYNAMICS,6.6,3.7,Q1,5.4,3.9
ELECTROCHIMICA ACTA,6.6,6.0,Q2,6.2,1.6
PROGRESS IN ORGANIC COATINGS,6.6,5.9,Q1,5.6,1.5
Expert Opinion on Drug Delivery,6.6,7.0,Q1,6.4,1.4
Biomaterials Science,6.6,6.8,Q1,6.3,1.0
CHEMICAL RECORD,6.6,6.5,Q1,6.4,1.8
Epilepsy Currents,6.6,6.3,Q1,6.3,1.0
EXPERT OPINION ON THERAPEUTIC PATENTS,6.6,5.9,Q1,6.5,1.8
Current Opinion in Chemical Engineering,6.6,5.9,Q1,6.4,3.1
Green Chemistry Letters and Reviews,6.6,6.0,N/A,6.4,1.3
EUROPEAN JOURNAL OF CELL BIOLOGY,6.6,4.8,Q2,6.5,0.8
Tungsten,6.6,5.7,N/A,6.3,0.7
IEEE Transactions on Cloud Computing,6.5,5.7,Q1,6.1,3.4
JOURNAL OF INVESTIGATIVE DERMATOLOGY,6.5,7.7,Q1,6.2,2.2
Systematic Biology,6.5,11.0,Q1,6.0,1.4
Research in International Business and Finance,6.5,5.2,Q1,5.9,1.3
Economic Analysis and Policy,6.5,5.2,Q1,5.9,2.7
RESUSCITATION,6.5,5.4,Q1,5.3,1.5
FOOD POLICY,6.5,7.0,Q1,6.2,1.3
Journal of Organizational and End User Computing,6.5,6.5,N/A,5.9,1.3
Plant Phenomics,6.5,7.5,Q1,5.9,1.2
PLANT PHYSIOLOGY AND BIOCHEMISTRY,6.5,6.4,Q1,6.3,1.3
SOIL & TILLAGE RESEARCH,6.5,7.3,Q1,6.1,1.2
JOURNAL OF THE AMERICAN SOCIETY OF ECHOCARDIOGRAPHY,6.5,6.7,Q1,5.7,2.0
Journal of Enterprise Information Management,6.5,6.4,Q1,6.1,1.7
BIOLOGY AND FERTILITY OF SOILS,6.5,6.9,Q1,5.8,1.0
ASTRONOMY & ASTROPHYSICS,6.5,5.6,Q1,4.7,1.8
INTEGRATED COMPUTER-AIDED ENGINEERING,6.5,4.2,Q2,5.1,2.6
EPMA Journal,6.5,5.3,Q2,5.0,1.6
Biodiversity Informatics,6.5,,N/A,6.5,1.8
Experimental and Computational Multiphase Flow,6.5,6.1,N/A,4.4,1.4
JOURNAL OF LIPID RESEARCH,6.5,5.8,Q1,6.2,1.2
Patterns,6.5,6.5,N/A,6.2,1.5
BRITISH JOURNAL OF HAEMATOLOGY,6.5,6.2,Q1,6.2,1.1
Foundations and Trends in Signal Processing,6.5,22.2,N/A,6.5,
AMBIO,6.5,6.5,Q1,6.3,1.1
Nanoscale Research Letters,6.5,5.3,Q1,6.4,1.0
QUARTERLY REVIEW OF BIOLOGY,6.5,5.8,Q1,6.5,0.7
CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,6.5,8.3,Q1,6.5,0.2
CRITICAL REVIEWS IN MICROBIOLOGY,6.5,9.0,Q1,6.5,1.0
YALE LAW JOURNAL,6.4,6.3,Q1,6.0,1.3
Review of Research in Education,6.4,9.0,Q1,6.4,1.2
VETERINARY QUARTERLY,6.4,5.2,Q1,6.3,3.6
Ocular Surface,6.4,9.9,Q1,5.5,1.5
International Forum of Allergy & Rhinology,6.4,4.5,Q1,5.7,1.3
INFORMATION SYSTEMS JOURNAL,6.4,8.9,Q1,5.9,1.2
BRAIN PATHOLOGY,6.4,6.5,Q1,6.2,1.2
SMALL BUSINESS ECONOMICS,6.4,7.4,Q1,5.8,0.9
Child Development Perspectives,6.4,8.6,Q1,6.3,0.7
EUROPEAN CHILD & ADOLESCENT PSYCHIATRY,6.4,6.2,Q1,6.1,1.0
URBAN FORESTRY & URBAN GREENING,6.4,6.6,Q1,5.6,1.4
Quantum,6.4,7.9,Q1,5.8,1.2
TRANSPORTATION RESEARCH PART A-POLICY AND PRACTICE,6.4,7.0,N/A,5.9,1.5
JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION,6.4,6.3,Q1,5.9,0.8
PROGRESS IN PLANNING,6.4,5.7,Q1,6.3,1.9
Quantitative Science Studies,6.4,6.4,N/A,5.6,1.1
GLOBAL ECOLOGY AND BIOGEOGRAPHY,6.4,7.4,Q1,6.2,1.7
Journal of Hydrology,6.4,6.6,Q1,5.6,1.2
PHYSIOLOGIA PLANTARUM,6.4,5.9,Q1,6.2,1.3
Trauma Violence & Abuse,6.4,7.4,Q1,5.9,0.6
Underground Space,6.4,5.3,Q1,5.5,2.9
THIN-WALLED STRUCTURES,6.4,5.9,Q1,5.1,1.4
Smart Cities,6.4,6.1,N/A,6.0,1.4
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,6.4,6.4,Q1,5.8,1.8
JOURNAL OF CARDIOVASCULAR MAGNETIC RESONANCE,6.4,6.6,Q1,5.6,1.1
Acta Physiologica,6.4,5.6,Q1,5.3,2.0
JPAD-Journal of Prevention of Alzheimers Disease,6.4,5.9,Q1,5.9,1.7
AUTOMATICA,6.4,7.4,Q1,5.9,1.3
IEEE INTELLIGENT SYSTEMS,6.4,5.8,Q1,6.2,2.3
mBio,6.4,6.9,Q1,6.2,1.5
IEEE-ASME TRANSACTIONS ON MECHATRONICS,6.4,7.1,Q1,5.1,2.0
Science China-Physics Mechanics & Astronomy,6.4,4.6,Q1,5.9,2.7
APPLIED THERMAL ENGINEERING,6.4,5.9,Q1,5.4,1.4
International Soil and Water Conservation Research,6.4,7.5,Q1,6.2,2.8
Journal of Building Engineering,6.4,6.5,Q1,5.6,2.0
JOURNAL OF INFECTIOUS DISEASES,6.4,5.4,Q1,6.2,2.7
INTERNATIONAL JOURNAL OF CANCER,6.4,6.7,Q1,6.2,1.0
mSystems,6.4,7.3,Q1,6.2,1.0
Urban Climate,6.4,6.7,Q1,5.8,1.7
AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,6.4,6.5,Q1,6.2,2.8
CANCER GENE THERAPY,6.4,6.1,N/A,6.4,1.0
Journal of Materials Research and Technology-JMR&T,6.4,6.4,Q1,5.8,1.5
Journal of Materials Chemistry C,6.4,6.6,Q1,6.0,1.3
MATERIALS SCIENCE AND ENGINEERING A-STRUCTURAL MATERIALS PROPERTIES MICROSTRUCTURE AND PROCESSING,6.4,6.4,Q1,5.4,1.5
Biocybernetics and Biomedical Engineering,6.4,5.5,Q2,6.0,1.7
Microbial Cell Factories,6.4,6.3,Q1,6.1,0.8
HISTOPATHOLOGY,6.4,5.1,Q1,6.1,1.1
IEEE Open Journal of Vehicular Technology,6.4,6.4,N/A,6.4,0.5
BIOLOGICAL PROCEDURES ONLINE,6.4,4.9,Q1,6.4,0.7
npj Science of Food,6.4,8.3,Q1,6.3,1.8
Tissue Engineering Part B-Reviews,6.4,7.5,Q1,6.3,1.1
ACS Applied Energy Materials,6.4,6.5,Q2,6.0,1.2
Human Resource Development Review,6.4,6.8,Q2,5.3,1.2
IMMUNOLOGY,6.4,7.0,Q1,6.3,1.5
Essays in Biochemistry,6.4,8.5,Q1,6.4,1.1
Cell Stress,6.4,5.1,N/A,6.4,0.7
PROGRESS IN SURFACE SCIENCE,6.4,7.6,Q1,6.4,1.6
Mathematical Programming Computation,6.3,9.4,Q1,6.0,0.4
SOCIOLOGICAL METHODS & RESEARCH,6.3,5.9,Q1,6.1,2.4
Animal Nutrition,6.3,6.9,Q1,6.1,2.1
Journal of Econometrics,6.3,4.9,Q1,6.2,2.0
American Journal of Obstetrics & Gynecology MFM,6.3,5.9,Q1,6.1,0.8
Information and Organization,6.3,8.4,Q1,6.2,0.5
European Heart Journal-Cardiovascular Imaging,6.3,6.7,Q1,5.7,2.7
Journal of Ginseng Research,6.3,5.7,Q1,5.7,2.0
IEEE Industrial Electronics Magazine,6.3,8.6,Q1,6.1,1.4
JOURNAL OF URBAN ECONOMICS,6.3,6.3,Q1,6.0,4.3
Psychological Trauma-Theory Research Practice and Policy,6.3,5.6,Q1,6.1,0.8
CLINICAL NUTRITION,6.3,7.1,Q1,5.9,2.7
Journal of Cosmology and Astroparticle Physics,6.3,5.5,Q1,4.9,1.8
JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,6.3,5.5,Q1,6.3,1.1
HYDROLOGY AND EARTH SYSTEM SCIENCES,6.3,6.9,Q1,5.8,1.5
IEEE Wireless Communications Letters,6.3,5.7,Q1,5.9,0.9
JOURNAL OF THE AMERICAN GERIATRICS SOCIETY,6.3,6.1,Q1,5.9,0.8
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,6.3,7.2,Q1,6.2,3.4
CONSERVATION BIOLOGY,6.3,6.5,Q1,6.1,1.1
JOURNAL OF GASTROENTEROLOGY,6.3,6.8,Q1,6.2,1.0
M&SOM-Manufacturing & Service Operations Management,6.3,8.1,Q1,5.5,0.5
ATMOSPHERIC CHEMISTRY AND PHYSICS,6.3,6.7,Q1,5.0,1.4
Progress in Disaster Science,6.3,6.1,N/A,6.1,1.2
Academy of Management Discoveries,6.3,7.6,Q2,6.1,2.0
COMPOSITE STRUCTURES,6.3,6.1,Q1,5.5,1.7
Current Research in Food Science,6.3,6.3,Q1,6.1,1.2
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,6.3,6.3,Q1,6.0,1.1
JOURNAL OF MATERIALS PROCESSING TECHNOLOGY,6.3,6.2,Q2,6.0,2.0
R & D MANAGEMENT,6.3,6.5,Q2,5.7,1.2
Energy Conversion and Management-X,6.3,6.5,N/A,6.1,1.7
Strategic Entrepreneurship Journal,6.3,10.2,Q1,6.2,0.7
Railway Engineering Science,6.3,6.3,N/A,5.8,1.3
SCANDINAVIAN JOURNAL OF WORK ENVIRONMENT & HEALTH,6.3,5.9,Q1,5.7,1.3
Journal of Modern Power Systems and Clean Energy,6.3,5.4,Q1,5.4,1.6
Biotechnology for Biofuels,6.3,6.6,Q1,6.3,
European Review of Aging and Physical Activity,6.3,5.5,Q2,6.2,0.9
PUBLICATIONS OF THE ASTRONOMICAL SOCIETY OF AUSTRALIA,6.3,5.9,Q1,5.7,0.9
